D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\audio.py:docstring of pyunity.audio.AudioSource.playOnStart:1: WARNING: duplicate object description of pyunity.audio.AudioSource.playOnStart, other instance in api/pyunity.audio, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.SphereCollider.pos:1: WARNING: duplicate object description of pyunity.physics.core.SphereCollider.pos, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.SphereCollider.radius:1: WARNING: duplicate object description of pyunity.physics.core.SphereCollider.radius, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.AABBoxCollider.min:1: WARNING: duplicate object description of pyunity.physics.core.AABBoxCollider.min, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.AABBoxCollider.max:1: WARNING: duplicate object description of pyunity.physics.core.AABBoxCollider.max, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.AABBoxCollider.pos:1: WARNING: duplicate object description of pyunity.physics.core.AABBoxCollider.pos, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.Rigidbody.physicMaterial:1: WARNING: duplicate object description of pyunity.physics.core.Rigidbody.physicMaterial, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.Rigidbody.mass:1: WARNING: duplicate object description of pyunity.physics.core.Rigidbody.mass, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.Rigidbody.position:1: WARNING: duplicate object description of pyunity.physics.core.Rigidbody.position, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\physics\core.py:docstring of pyunity.physics.core.Rigidbody.velocity:1: WARNING: duplicate object description of pyunity.physics.core.Rigidbody.velocity, other instance in api/pyunity.physics.core, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\render.py:docstring of pyunity.render.Camera.near:1: WARNING: duplicate object description of pyunity.render.Camera.near, other instance in api/pyunity.render, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\render.py:docstring of pyunity.render.Camera.far:1: WARNING: duplicate object description of pyunity.render.Camera.far, other instance in api/pyunity.render, use :noindex: for one of them
D:\RayChen2\Ray's docs and txts...anythin!\python\share\pyunity\pyunity\render.py:docstring of pyunity.render.Camera.clearColor:1: WARNING: duplicate object description of pyunity.render.Camera.clearColor, other instance in api/pyunity.render, use :noindex: for one of them
